자치구,합계_개소,합계_면적(㎡),시설녹지_개소,시설녹지_면적(㎡),일반녹지_개소,일반녹지_면적(㎡),분리대_개소,분리대_면적(㎡),수벽_개소,수벽_면적(㎡),수림대_개소,수림대_면적(㎡),하천변조경_개소,하천변조경_면적(㎡),간이휴게소_개소,간이휴게소_면적(㎡),지하철환기구주변_개소,지하철환기구주변_면적(㎡),건물주변_개소,건물주변_면적(㎡),아파트및학교_개소,아파트및학교_면적(㎡),침수공간조성_개소,침수공간조성_면적(㎡),기타_개소,기타_면적(㎡)
종로구,682,228568,22,53854,494,110063,3,2862,7,6169,0,0,0,0,56,15755,1,422,29,13369,25,17469,6,4804,39,3801
중구,404,221299,26,31521,122,45119,8,7973,1,74,0,0,0,0,110,22048,5,566,97,78473,34,32525,1,3000,0,0
용산구,346,352823,20,54092,78,78396,45,20375,6,7277,5,56915,2,34400,34,18209,6,224,41,30080,31,46079,6,724,72,6052
성동구,421,312250,14,36150,249,96172,22,9535,8,2849,4,67015,3,20343,32,22497,2,1400,35,12810,42,42235,4,974,6,270
광진구,252,290848,7,20797,67,125495,0,0,6,2063,4,21760,6,17290,47,22061,4,365,48,10038,44,47511,13,18163,6,5305
동대문구,323,421544,37,67916,77,25515,26,11636,0,0,4,20285,4,196798,74,20484,1,492,41,20305,57,56607,1,1291,1,215
중랑구,296,540213,31,128636,131,92832,0,0,3,4405,6,54426,2,157340,41,37152,0,0,25,12252,56,52930,1,240,0,0
성북구,364,388642,63,159842,93,83469,1,1000,3,12955,4,1292,3,18553,58,33253,8,2080,58,18586,67,52005,2,4757,4,850
강북구,215,139297,11,21317,74,24631,0,0,6,2210,0,0,8,5630,47,13604,1,50,27,33249,35,37933,1,100,5,573
도봉구,331,273277,9,27016,180,88162,1,8511,4,1010,0,0,7,46300,36,29353,0,0,24,7420,50,55359,14,1680,6,8466
노원구,419,685214,60,205726,56,63141,5,2800,0,0,45,77200,23,90578,49,52364,4,361,37,15759,118,171543,3,195,19,5547
은평구,255,409956,46,108476,89,76751,18,6372,0,0,3,47500,3,33544,30,14850,0,0,25,20379,39,95284,2,6800,0,0
서대문구,242,253984,36,135050,124,58589,18,3365,1,500,1,3000,3,14108,4,4281,0,0,18,6269,35,27740,1,1008,1,75
마포구,413,879984,73,158544,126,374898,5,3590,6,3172,4,134037,4,22482,85,33107,2,1127,46,22262,49,44838,5,1700,8,80227
양천구,255,480802,45,171902,64,74760,2,15638,13,24928,2,21268,1,13152,24,11472,4,363,24,12203,66,85526,6,7965,4,41625
강서구,362,1152872,118,325945,66,690930,7,16493,4,4454,2,9940,0,0,5,462,1,1350,33,11368,87,72622,0,0,39,19308
구로구,430,693706,36,120506,165,201926,5,28872,10,3563,8,12019,14,162698,73,24546,0,0,29,14172,68,81398,6,15498,16,28508
금천구,214,421481,7,42246,41,73247,30,15788,1,100,2,18116,20,201809,11,17550,0,0,21,17964,25,25559,6,358,50,8744
영등포구,427,825959,39,66601,134,427460,5,21202,5,4658,8,30174,6,65765,77,27288,1,1500,30,12679,88,89228,6,5464,28,73940
동작구,236,266122,13,30902,53,61586,20,25904,7,8307,0,0,3,65800,5,5557,0,0,21,5242,55,46855,8,680,51,15290
관악구,302,252293,13,7316,131,47192,4,33418,1,300,1,8230,3,27225,35,60990,0,0,32,9897,57,55957,3,954,22,814
서초구,323,1447114,72,871070,75,213203,7,16184,7,9624,3,59910,11,188340,32,17956,11,3827,29,8971,50,52109,3,1103,23,4817
강남구,358,1939305,94,413667,53,115251,7,32058,7,6255,6,61400,3,1158477,21,12825,7,437,53,18540,99,116770,1,1975,7,1650
송파구,342,1003385,48,284171,87,250516,4,65523,5,11440,3,174315,5,69365,21,36628,8,1497,65,28506,82,76596,7,4378,7,450
강동구,302,608229,32,129684,124,140612,1,24280,5,6080,1,64660,1,75215,28,27264,1,100,41,43546,54,86190,10,4882,4,5716
