순위,자치구,전체면적(km²),녹지지역면적(km²),녹지율(%)
1,노원구,35.6,21.03,59.07
2,서초구,46.9,26.56,56.63
3,강서구,41.46,22.5,54.27
4,강북구,23.64,12.46,52.74
5,도봉구,20.68,10.84,52.4
6,관악구,29.56,13.85,46.83
7,종로구,23.97,11.2,46.74
8,은평구,29.79,13.9,46.67
9,강동구,24.56,10.83,44.11
10,마포구,23.89,9.66,40.42
11,중랑구,18.53,7.35,39.67
12,용산구,21.9,8.44,38.56
13,영등포구,24.35,8.71,35.76
14,강남구,39.5,13.32,33.72
15,광진구,17.08,5.27,30.89
16,송파구,33.86,10.1,29.83
17,성북구,24.62,6.39,25.97
18,성동구,16.8,4.33,25.78
19,구로구,20.14,5.16,25.61
20,양천구,17.47,4.04,23.14
21,금천구,13.01,2.9,22.25
22,동작구,16.39,2.25,13.73
23,서대문구,17.69,1.96,11.1
24,동대문구,14.25,0.38,2.69
25,중구,9.97,0.03,0.25
